@RELATION eos
@ATTRIBUTE r1Ucfirst {0, 1}
@ATTRIBUTE r1NewPara {0, 1}
@ATTRIBUTE r1Comma {0, 1}
@ATTRIBUTE r1Period {0, 1}
@ATTRIBUTE l1Title {0, 1}
@ATTRIBUTE l1Abbrev {0, 1}
@ATTRIBUTE lLength numeric
@ATTRIBUTE rLength numeric
@ATTRIBUTE Nspaces numeric
@ATTRIBUTE r1Quote {0, 1}
@ATTRIBUTE r1Semi {0, 1}
@ATTRIBUTE l1Internal {0, 1}
@ATTRIBUTE l1Cap {0, 1}
@ATTRIBUTE class {EOS, NEOS}
@DATA
1,0,0,0,0,0,137,167,2,0,0,0,0,EOS
0,1,0,0,0,0,151,0,0,0,0,0,0,EOS
1,0,0,0,0,0,125,52,2,0,0,0,0,EOS
1,0,0,0,0,0,53,106,2,0,0,0,0,EOS
1,0,0,0,0,0,31,20,2,0,0,0,0,EOS
1,0,0,0,0,0,15,68,1,0,0,0,1,NEOS
1,0,0,0,0,0,1,150,1,0,0,0,1,NEOS
0,1,0,0,0,0,73,0,0,0,0,0,1,EOS
1,0,0,0,0,0,126,23,2,0,0,0,0,EOS
1,0,0,0,0,0,151,251,2,0,0,0,0,EOS
1,0,0,0,0,0,63,132,1,0,0,0,0,EOS
1,0,0,0,0,0,30,25,2,0,0,0,0,EOS
1,0,0,0,0,0,29,57,2,0,0,0,0,EOS
0,0,0,0,0,0,80,1,0,0,0,0,0,EOS
0,1,0,0,0,0,77,0,0,0,0,0,0,EOS
0,1,0,0,0,0,27,0,0,0,0,0,0,EOS
1,0,0,0,0,0,5,48,1,0,0,0,1,NEOS
1,0,0,0,1,1,79,14,1,0,0,0,1,NEOS
1,0,0,0,1,1,32,7,1,0,0,0,1,NEOS
0,1,0,0,0,0,18,0,0,0,0,0,0,EOS
1,0,0,0,0,0,27,25,2,0,0,0,0,EOS
1,0,0,0,0,0,40,6,2,0,0,0,0,EOS
1,0,0,0,0,0,259,84,1,0,0,0,0,EOS
1,0,0,0,0,0,29,121,1,0,0,0,0,EOS
0,1,0,0,0,0,42,0,0,0,0,0,0,EOS
1,0,0,0,0,0,9,20,2,0,0,0,0,EOS
0,1,0,0,0,1,12,0,0,0,0,0,0,EOS
1,0,0,0,0,0,14,117,2,0,0,0,0,EOS
0,1,0,0,0,0,25,0,0,0,0,0,0,EOS
1,0,0,0,0,0,340,104,2,0,0,0,1,EOS
0,1,0,0,0,0,132,0,0,0,0,0,0,EOS
1,0,0,0,0,0,67,21,1,0,0,0,0,EOS
1,0,0,0,1,1,74,72,1,0,0,0,1,NEOS
0,1,0,0,0,0,27,0,0,0,0,0,0,EOS
0,0,0,0,0,1,133,65,1,0,0,0,1,NEOS
1,0,0,0,0,0,68,88,2,0,0,0,0,EOS
1,0,0,0,0,0,61,95,2,0,0,0,0,EOS
1,0,0,0,0,0,45,37,2,0,0,0,0,EOS
0,1,0,0,0,0,17,0,0,0,0,0,0,EOS
1,0,0,0,0,0,37,47,1,0,0,0,1,EOS
1,0,0,0,0,0,117,65,1,0,0,0,0,EOS
1,0,0,0,0,0,92,108,2,0,0,0,0,EOS
0,1,0,0,0,0,117,0,0,0,0,0,0,EOS
0,0,0,0,0,0,18,6,1,1,0,0,0,EOS
1,0,0,0,0,0,86,205,2,0,0,0,0,EOS
1,0,0,0,0,0,32,122,3,0,0,0,1,EOS
1,0,0,0,0,0,55,24,2,0,0,0,0,EOS
1,0,0,0,0,0,19,101,2,0,0,0,0,EOS
1,0,0,0,0,0,179,71,2,0,0,0,0,EOS
0,1,0,0,0,0,343,0,0,0,0,0,0,EOS
1,0,0,0,0,0,147,19,1,0,0,0,1,EOS
1,0,0,0,0,0,3,14,2,0,0,0,0,EOS
0,1,0,0,0,0,41,0,0,0,0,0,0,EOS
0,1,0,0,0,0,127,0,0,0,0,0,1,EOS
1,0,0,0,0,0,46,159,1,0,0,0,0,EOS
0,1,0,0,0,0,68,0,0,0,0,0,0,EOS
1,0,0,0,0,0,12,67,1,0,0,0,1,EOS
0,1,0,0,0,0,37,0,0,0,0,0,0,EOS
0,1,0,0,0,0,205,0,0,0,0,0,0,EOS
1,0,0,0,0,0,46,115,2,0,0,0,0,EOS
1,0,0,0,0,0,38,72,1,0,0,0,0,EOS
0,1,0,0,0,0,53,0,0,0,0,0,0,EOS
1,0,0,0,0,0,66,53,2,0,0,0,0,EOS
0,0,0,0,0,1,458,183,0,0,1,0,1,NEOS
1,0,0,0,0,0,4,7,2,0,0,0,1,EOS
1,0,0,0,0,0,23,38,2,0,0,0,1,EOS
0,1,0,0,0,0,149,0,0,0,0,0,0,EOS
1,0,0,0,0,0,7,27,1,0,0,0,0,EOS
0,1,0,0,0,0,36,0,0,0,0,0,0,EOS
1,0,0,0,0,0,20,18,2,0,0,0,0,EOS
1,0,0,0,1,1,1,45,1,0,0,0,1,NEOS
1,0,0,0,0,0,19,118,1,0,0,0,0,EOS
1,0,0,0,0,0,40,8,2,0,0,0,0,EOS
0,1,0,0,0,0,71,0,0,0,0,0,0,EOS
1,0,0,0,0,0,59,36,1,0,0,0,0,EOS
1,0,0,0,0,0,13,9,1,0,0,0,0,EOS
1,0,0,0,0,0,28,25,2,0,0,0,0,EOS
1,0,0,0,0,0,29,119,1,0,0,0,0,EOS
1,0,0,0,0,0,42,7,1,0,0,0,0,EOS
0,0,0,0,0,0,90,29,2,0,0,0,0,EOS
0,0,0,0,0,0,9,17,2,1,0,0,0,EOS
1,0,0,0,0,0,26,111,1,0,0,0,0,EOS
1,0,0,0,0,0,56,11,2,0,0,0,0,EOS
1,0,0,0,0,0,3,39,2,0,0,0,0,EOS
1,0,0,0,0,0,5,9,2,0,0,0,0,EOS
1,0,0,0,0,0,29,119,2,0,0,0,0,EOS
0,1,0,0,0,0,30,0,0,0,0,0,0,EOS
1,0,0,0,1,1,27,28,1,0,0,0,1,NEOS
1,0,0,0,1,1,16,15,1,0,0,0,1,NEOS
0,1,0,0,0,0,68,0,0,0,0,0,1,EOS
1,0,0,0,0,0,64,19,1,0,0,0,0,EOS
0,0,0,0,0,0,10,5,1,1,0,0,0,EOS
0,1,0,0,0,0,26,0,0,0,0,0,0,EOS
1,0,0,0,0,0,39,4,2,0,0,0,0,EOS
1,0,0,0,0,0,38,62,3,0,0,0,0,EOS
1,0,0,0,0,0,64,17,1,0,0,0,1,EOS
1,0,0,0,1,1,18,96,1,0,0,0,1,NEOS
0,1,0,0,0,0,36,0,0,0,0,0,0,EOS
0,1,0,0,0,0,50,0,0,0,0,0,0,EOS
0,1,0,0,0,0,92,0,0,0,0,0,0,EOS
0,1,0,0,0,0,93,0,0,0,0,0,0,EOS
1,0,0,0,0,0,58,204,2,0,0,0,0,EOS
1,0,0,0,0,0,31,9,2,0,0,0,0,EOS
1,0,0,0,0,0,18,4,1,0,0,0,1,NEOS
0,1,0,0,0,0,72,0,0,0,0,0,0,EOS
1,0,0,0,0,0,69,26,1,0,0,0,0,EOS
1,0,0,0,0,0,6,35,2,0,0,0,0,EOS
1,0,0,0,0,0,220,196,2,0,0,0,0,EOS
0,1,0,0,0,0,61,0,0,0,0,0,0,EOS
0,1,0,0,0,0,9,0,0,0,0,0,0,EOS
1,0,0,0,0,0,44,54,2,0,0,0,0,EOS
0,1,0,0,0,0,72,0,0,0,0,0,0,EOS
1,0,0,0,0,0,18,38,2,0,0,0,0,EOS
0,1,0,0,0,0,29,0,0,0,0,0,0,EOS
1,0,0,0,0,0,32,19,2,0,0,0,1,NEOS
1,0,0,0,0,0,473,26,1,0,0,0,0,EOS
1,0,0,0,0,0,14,192,2,0,0,0,0,EOS
1,0,0,0,0,0,42,65,2,0,0,0,0,EOS
1,0,0,0,0,0,15,5,2,0,0,0,0,EOS
1,0,0,0,0,0,25,119,2,0,0,0,0,EOS
1,0,0,0,0,0,163,26,2,0,0,0,0,EOS
1,0,0,0,0,0,113,61,2,0,0,0,0,EOS
1,0,0,0,0,0,77,104,2,0,0,0,0,EOS
1,0,0,0,0,0,191,62,2,0,0,0,1,NEOS
1,0,0,0,0,0,30,84,1,0,0,0,0,EOS
1,0,0,0,0,0,28,20,2,0,0,0,0,EOS
1,0,0,0,0,0,49,118,1,0,0,0,0,EOS
0,1,0,0,0,0,8,0,0,0,0,0,0,EOS
1,0,0,0,0,0,2,15,1,0,0,0,1,EOS
0,0,0,0,0,0,3,16,1,1,0,0,0,EOS
1,0,0,0,0,0,134,136,2,0,0,0,0,EOS
0,1,0,0,0,0,111,0,0,0,0,0,0,EOS
1,0,0,0,1,1,52,2,1,0,0,0,1,NEOS
1,0,0,0,0,0,14,53,1,0,0,0,1,NEOS
1,0,0,0,0,0,21,12,1,0,0,0,1,NEOS
1,0,0,0,0,0,15,82,2,0,0,0,1,EOS
0,1,0,0,0,0,4,0,0,0,0,0,0,EOS
0,0,0,0,0,0,45,29,0,0,0,0,1,EOS
0,0,0,0,0,0,7,50,1,1,0,0,0,EOS
1,0,0,0,1,1,7,49,1,0,0,0,1,NEOS
0,1,0,0,0,0,3,0,0,0,0,0,0,EOS
0,1,0,0,0,0,69,0,0,0,0,0,0,EOS
1,0,0,0,0,0,28,5,1,0,0,0,0,EOS
0,1,0,0,0,0,140,0,0,0,0,0,0,EOS
0,1,0,0,0,0,67,0,0,0,0,0,0,EOS
0,1,0,0,0,0,31,0,0,0,0,0,0,EOS
1,0,0,0,0,0,208,75,1,0,0,0,0,EOS
0,1,0,0,0,0,29,0,0,0,0,0,0,EOS
0,0,0,0,0,0,87,111,1,0,0,0,1,NEOS
1,0,0,0,0,0,4,65,2,0,0,0,0,EOS
0,1,0,0,0,0,17,0,0,0,0,0,0,EOS
1,0,0,0,0,0,27,93,2,0,0,0,0,EOS
0,1,0,0,0,0,154,0,0,0,0,0,0,EOS
1,0,0,0,0,0,136,41,2,0,0,0,0,EOS
0,1,0,0,0,0,30,0,0,0,0,0,0,EOS
1,0,0,0,0,0,22,384,2,0,0,0,1,EOS
1,0,0,0,0,0,211,32,2,0,0,0,0,EOS
0,1,0,0,0,0,28,0,0,0,0,0,0,EOS
1,0,0,0,0,0,41,26,1,0,0,0,1,NEOS
1,0,0,0,0,0,38,3,1,0,0,0,1,NEOS
0,0,0,0,0,0,33,21,2,1,0,0,0,EOS
1,0,0,0,1,1,30,7,2,0,0,0,1,NEOS
1,0,0,0,0,0,7,22,1,0,0,0,0,EOS
1,0,0,0,1,1,1,33,2,0,0,0,1,NEOS
1,0,0,0,0,0,56,81,2,0,0,0,0,EOS
0,0,0,0,0,0,206,377,2,0,0,0,0,EOS
1,0,0,0,0,0,29,10,2,0,0,0,0,EOS
1,0,0,0,0,0,48,11,2,0,0,0,0,EOS
0,1,0,0,0,0,341,0,0,0,0,0,0,EOS
1,0,0,0,0,0,77,134,1,0,0,0,0,EOS
1,0,0,0,0,0,138,97,1,0,0,0,0,EOS
1,0,0,0,0,0,34,55,2,0,0,0,0,EOS
1,0,0,0,0,0,16,23,2,0,0,0,0,EOS
1,0,0,0,0,0,172,120,1,0,0,0,1,EOS
1,0,0,0,0,0,50,71,1,0,0,0,1,EOS
1,0,0,0,0,0,42,16,2,0,0,0,0,EOS
0,0,0,0,0,0,47,21,2,1,0,0,0,EOS
0,0,0,0,0,0,44,106,0,0,0,0,1,NEOS
0,0,1,0,0,1,82,12,0,0,0,0,1,NEOS
1,0,0,0,0,0,84,81,2,0,0,0,0,EOS
1,0,0,0,0,1,9,23,2,0,0,0,0,EOS
1,0,0,0,0,0,12,16,2,0,0,0,0,EOS
1,0,0,0,0,0,23,14,2,0,0,0,0,EOS
1,0,0,0,0,0,179,261,2,0,0,0,0,EOS
0,1,0,0,0,0,58,0,0,0,0,0,0,EOS
0,1,0,0,0,0,15,0,0,0,0,0,0,EOS
1,0,0,0,0,0,269,35,2,0,0,0,0,EOS
1,0,0,0,0,0,19,45,2,0,0,0,0,EOS
1,0,0,0,0,0,271,8,1,0,0,0,0,EOS
1,0,0,0,0,1,19,3,2,0,0,0,0,EOS
1,0,0,0,0,0,258,65,2,0,0,0,0,EOS
0,1,0,0,0,0,41,0,0,0,0,0,1,EOS
1,0,0,0,0,0,8,22,1,0,0,0,0,EOS
1,0,0,0,1,1,6,50,1,0,0,0,1,NEOS
1,0,0,0,0,0,32,100,1,0,0,0,0,EOS
1,0,0,0,0,0,3,22,1,0,0,0,0,EOS
1,0,0,0,0,0,48,25,2,0,0,0,0,EOS
1,0,0,0,0,0,3,32,2,0,0,0,0,EOS
1,0,0,0,0,0,41,48,2,0,0,0,1,EOS
1,0,0,0,0,0,46,68,2,0,0,0,0,EOS
1,0,0,0,0,0,127,339,2,0,0,0,0,EOS
1,0,0,0,0,0,33,66,2,0,0,0,0,EOS
0,1,0,0,0,0,34,0,0,0,0,0,0,EOS
0,0,0,0,0,0,15,17,0,0,1,0,1,NEOS
1,0,0,0,0,0,122,54,1,0,0,0,0,EOS
1,0,0,0,0,0,50,44,1,0,0,0,0,EOS
1,0,0,0,0,0,65,61,2,0,0,0,0,EOS
1,0,0,0,0,0,23,14,2,0,0,0,0,EOS
0,0,0,0,0,0,10,19,2,1,0,0,0,EOS
1,0,0,0,0,0,16,67,2,0,0,0,0,EOS
1,0,0,0,0,0,45,47,2,0,0,0,0,EOS
1,0,0,0,0,0,54,88,2,0,0,0,0,EOS
0,1,0,0,0,0,51,0,0,0,0,0,0,EOS
0,1,0,0,0,0,36,0,0,0,0,0,0,EOS
1,0,0,0,0,0,51,24,1,0,0,0,0,EOS
1,0,0,0,0,0,22,89,1,0,0,0,1,EOS
0,1,0,0,0,0,141,0,0,0,0,0,0,EOS
1,0,0,0,0,0,26,34,1,0,0,0,0,EOS
0,1,0,0,0,1,34,0,0,0,0,0,0,EOS
0,1,0,0,0,0,22,0,0,0,0,0,0,EOS
0,1,0,0,0,0,63,0,0,0,0,0,0,EOS
0,0,0,0,0,0,90,131,1,0,0,0,0,EOS
1,0,0,0,0,0,19,27,1,0,0,0,0,EOS
1,0,0,0,0,0,51,156,1,0,0,0,0,EOS
1,0,0,0,0,0,7,56,2,0,0,0,0,EOS
1,0,0,0,0,0,99,58,2,0,0,0,0,EOS
0,0,0,0,0,0,9,12,1,1,0,0,0,EOS
0,1,0,0,0,0,35,0,0,0,0,0,0,EOS
1,0,0,0,0,0,38,38,2,0,0,0,0,EOS
0,0,0,0,0,1,27,51,1,0,0,0,1,NEOS
0,1,0,0,0,0,15,0,0,0,0,0,0,EOS
0,1,0,0,0,0,82,0,0,0,0,0,0,EOS
1,0,0,0,0,0,26,29,1,0,0,0,1,EOS
0,1,0,0,0,0,77,0,0,0,0,0,1,EOS
1,0,0,0,0,0,12,18,2,0,0,0,0,EOS
1,0,0,0,0,0,26,6,2,0,0,0,0,EOS
1,0,0,0,0,0,17,10,2,0,0,0,0,EOS
0,1,0,0,0,0,20,0,0,0,0,0,0,EOS
0,1,0,0,0,0,37,0,0,0,0,0,0,EOS
1,0,0,0,0,0,913,268,2,0,0,0,0,EOS
1,0,0,0,0,0,37,23,2,0,0,0,0,EOS
1,0,0,0,0,0,47,27,1,0,0,0,0,EOS
0,0,0,0,0,0,32,43,2,0,0,0,0,EOS
1,0,0,0,0,0,203,66,1,0,0,0,0,EOS
0,0,0,0,0,1,21,92,1,0,0,0,1,NEOS
1,0,0,0,0,0,92,21,1,0,0,0,0,EOS
0,1,0,0,0,0,102,0,0,0,0,0,0,EOS
1,0,0,0,0,0,74,115,1,0,0,0,0,EOS
1,0,0,0,0,0,62,75,2,0,0,0,1,EOS
1,0,0,0,0,0,8,8,1,0,0,0,1,EOS
1,0,0,0,0,0,218,72,1,0,0,0,1,NEOS
1,0,0,0,0,0,24,77,1,0,0,0,0,EOS
1,0,0,0,0,0,37,131,2,0,0,0,0,EOS
1,0,0,0,0,0,43,20,1,0,0,0,0,EOS
1,0,0,0,0,0,18,142,3,0,0,0,0,EOS
1,0,0,0,0,0,63,14,1,0,0,0,0,EOS
1,0,0,0,0,0,108,14,2,0,0,0,0,EOS
0,1,0,0,0,0,71,0,0,0,0,0,0,EOS
1,0,0,0,0,0,131,83,2,0,0,0,0,EOS
1,0,0,0,0,0,23,162,2,0,0,0,1,EOS
0,0,0,0,0,1,51,157,1,0,0,0,0,NEOS
0,0,1,0,0,1,32,10,0,0,0,0,1,NEOS
1,0,0,0,0,0,82,232,2,0,0,0,0,EOS
1,0,0,0,0,0,61,39,1,0,0,0,0,EOS
1,0,0,0,0,0,1,315,1,0,0,0,0,EOS
1,0,0,0,0,0,15,40,1,0,0,0,0,EOS
0,0,0,0,0,0,7,28,2,1,0,0,0,EOS
0,1,0,0,0,0,32,0,0,0,0,0,0,EOS
1,0,0,0,0,0,140,23,1,0,0,0,0,EOS
1,0,0,0,0,0,22,37,1,0,0,0,0,EOS
0,1,0,0,0,0,18,0,0,0,0,0,0,EOS
1,0,0,0,0,0,64,72,1,0,0,0,0,EOS
1,0,0,0,0,0,6,122,2,0,0,0,0,EOS
1,0,0,0,0,0,64,56,2,0,0,0,0,EOS
1,0,0,0,0,0,17,55,2,0,0,0,0,EOS
1,0,0,0,0,0,46,28,2,0,0,0,0,EOS
1,0,0,0,0,0,11,58,2,0,0,0,0,EOS
1,0,0,0,0,0,58,283,2,0,0,0,0,EOS
0,0,0,0,0,0,69,131,2,0,0,0,0,EOS
1,0,0,0,0,0,287,55,2,0,0,0,0,EOS
1,0,0,0,0,0,164,11,1,0,0,0,0,EOS
1,0,0,0,0,0,27,49,2,0,0,0,0,EOS
0,0,0,0,0,0,6,33,2,1,0,0,0,EOS
0,1,0,0,0,0,220,0,0,0,0,0,0,EOS
1,0,0,0,0,0,76,323,1,0,0,0,0,EOS
1,0,0,0,0,0,5,9,1,0,0,0,0,EOS
0,0,1,0,0,0,33,122,0,0,0,1,0,NEOS
1,0,0,0,0,0,71,63,2,0,0,0,0,EOS
1,0,0,0,0,0,39,21,2,0,0,0,1,EOS
1,0,0,0,0,0,59,169,2,0,0,0,0,EOS
1,0,0,0,0,0,22,64,2,0,0,0,1,EOS
0,1,0,0,0,0,132,0,0,0,0,0,0,EOS
1,0,0,0,0,0,12,23,1,0,0,0,0,EOS
1,0,0,0,0,0,13,18,2,0,0,0,0,EOS
0,1,0,0,0,0,14,0,0,0,0,0,0,EOS
1,0,0,0,0,0,115,6,1,0,0,0,0,EOS
0,1,0,0,0,0,11,0,0,0,0,0,0,EOS
0,1,0,0,0,0,183,0,0,0,0,0,0,EOS
0,0,0,0,0,1,1,111,1,0,0,0,1,NEOS
0,1,0,0,0,0,57,0,0,0,0,0,0,EOS
1,0,0,0,0,0,147,33,2,0,0,0,0,EOS
1,0,0,0,0,0,45,63,2,0,0,0,1,EOS
1,0,0,0,0,0,36,191,1,0,0,0,0,NEOS
0,0,0,0,0,0,2,8,1,1,0,0,0,EOS
0,1,0,0,0,0,27,0,0,0,0,0,0,EOS
1,0,0,0,0,0,14,43,1,0,0,0,0,EOS
1,0,0,0,0,0,65,43,2,0,0,0,0,EOS
0,0,0,0,0,0,3,8,2,1,0,0,0,EOS
1,0,0,0,0,0,16,2,2,0,0,0,1,NEOS
0,1,0,0,0,0,43,0,0,0,0,0,0,EOS
0,1,0,0,0,0,32,0,0,0,0,0,0,EOS
0,0,0,0,0,0,10,33,1,1,0,0,0,EOS
0,1,0,0,0,0,12,0,0,0,0,0,0,EOS
1,0,0,0,0,0,28,16,1,0,0,0,0,EOS
1,0,0,0,0,0,72,74,2,0,0,0,0,EOS
1,0,0,0,0,0,61,41,2,0,0,0,0,EOS
1,0,0,0,0,0,12,133,2,0,0,0,0,EOS
1,0,0,0,0,0,48,23,1,0,0,0,0,EOS
0,1,0,0,0,0,26,0,0,0,0,0,0,EOS
1,0,0,0,0,0,19,98,2,0,0,0,1,EOS
1,0,0,0,0,0,192,85,2,0,0,0,0,EOS
1,0,0,0,0,0,105,100,1,0,0,0,0,EOS
1,0,0,0,0,1,58,14,1,0,0,0,0,EOS
1,0,0,0,0,0,8,78,1,0,0,0,0,EOS
1,0,0,0,0,0,17,46,1,0,0,0,0,EOS
1,0,0,0,0,0,29,23,1,0,0,0,0,EOS
1,0,0,0,0,0,9,17,2,0,0,0,0,EOS
1,0,0,0,0,0,150,25,1,0,0,0,1,EOS
0,1,0,0,0,0,31,0,0,0,0,0,0,EOS
0,0,0,0,0,0,128,101,1,0,0,0,1,NEOS
1,0,0,0,0,0,63,82,2,0,0,0,1,EOS
1,0,0,0,0,0,20,75,2,0,0,0,0,EOS
1,0,0,0,0,0,24,41,2,0,0,0,0,EOS
1,0,0,0,0,0,103,71,2,0,0,0,0,EOS
1,0,0,0,0,0,32,70,1,0,0,0,0,EOS
0,1,0,0,0,0,142,0,0,0,0,0,0,EOS
1,0,0,0,0,0,19,163,2,0,0,0,0,EOS
1,0,0,0,0,0,62,62,1,0,0,0,0,EOS
1,0,0,0,0,0,59,65,2,0,0,0,0,EOS
0,1,0,0,0,0,154,0,0,0,0,0,0,EOS
1,0,0,0,0,0,32,131,1,0,0,0,0,EOS
0,1,0,0,0,0,36,0,0,0,0,0,0,EOS
1,0,0,0,0,0,65,139,2,0,0,0,0,EOS
0,1,0,0,0,0,23,0,0,0,0,0,0,EOS
1,0,0,0,0,0,44,91,2,0,0,0,0,EOS
1,0,0,0,0,0,25,20,2,0,0,0,0,EOS
1,0,0,0,0,0,7,160,2,0,0,0,0,EOS
1,0,0,0,1,1,3,8,2,0,0,0,1,NEOS
1,0,0,0,0,0,44,19,2,0,0,0,0,EOS
0,1,0,0,0,0,36,0,0,0,0,0,0,EOS
1,0,0,0,0,0,45,22,1,0,0,0,1,EOS
0,1,0,0,0,0,4,0,0,0,0,0,0,EOS
0,1,0,0,0,0,52,0,0,0,0,0,1,EOS
1,0,0,0,0,0,8,79,2,0,0,0,0,EOS
1,0,0,0,0,0,86,4,2,0,0,0,0,EOS
0,1,0,0,0,0,162,0,0,0,0,0,0,EOS
0,1,0,0,0,0,33,0,0,0,0,0,0,EOS
1,0,0,0,0,0,72,52,1,0,0,0,1,EOS
0,1,0,0,0,0,24,0,0,0,0,0,0,EOS
0,1,0,0,0,0,33,0,0,0,0,0,0,EOS
1,0,0,0,0,0,26,50,2,0,0,0,1,EOS
1,0,0,0,0,0,119,42,2,0,0,0,0,EOS
1,0,0,0,0,0,12,55,1,0,0,0,0,EOS
0,1,0,0,0,0,65,0,0,0,0,0,1,EOS
1,0,0,0,0,0,39,31,2,0,0,0,0,EOS
0,1,0,0,0,0,3,0,0,0,0,0,0,EOS
1,0,0,0,0,0,44,95,1,0,0,0,0,EOS
1,0,0,0,0,0,37,74,1,0,0,0,0,EOS
1,0,0,0,0,0,70,57,2,0,0,0,0,EOS
1,0,0,0,0,0,54,42,1,0,0,0,0,EOS
1,0,0,0,0,0,15,70,2,0,0,0,0,EOS
1,0,0,0,0,0,80,52,2,0,0,0,0,EOS
0,1,0,0,0,0,66,0,0,0,0,0,0,EOS
1,0,0,0,0,0,43,39,2,0,0,0,0,EOS
1,0,0,0,0,0,12,26,2,0,0,0,0,EOS
1,0,0,0,0,0,58,161,1,0,0,0,0,EOS
1,0,0,0,0,0,32,37,2,0,0,0,0,EOS
1,0,0,0,1,1,41,68,1,0,0,0,1,NEOS
1,0,0,0,0,0,14,150,2,0,0,0,0,EOS
0,1,0,0,0,0,148,0,0,0,0,0,0,EOS
1,0,0,0,0,0,34,236,1,0,0,0,0,EOS
1,0,0,0,0,0,61,11,1,0,0,0,0,EOS
1,0,0,0,0,0,19,56,2,0,0,0,1,EOS
1,0,0,0,0,0,27,45,1,0,0,0,0,EOS
1,0,0,0,0,0,20,26,2,0,0,0,0,EOS
1,0,0,0,0,0,22,55,2,0,0,0,0,EOS
0,1,0,0,0,0,22,0,0,0,0,0,0,EOS
1,0,0,0,0,0,55,46,1,0,0,0,0,EOS
1,0,0,0,0,0,280,160,1,0,0,0,0,EOS
0,1,0,0,0,0,7,0,0,0,0,0,0,EOS
0,0,0,0,0,0,9,15,2,1,0,0,0,EOS
1,0,0,0,1,1,97,9,1,0,0,0,1,NEOS
1,0,0,0,0,0,76,20,2,0,0,0,0,EOS
1,0,0,0,0,0,82,165,2,0,0,0,0,EOS
1,0,0,0,0,0,40,148,1,0,0,0,0,EOS
1,0,0,0,0,0,54,42,2,0,0,0,0,EOS
1,0,0,0,0,0,4,44,1,0,0,0,1,NEOS
1,0,0,0,0,0,47,29,1,0,0,0,0,EOS
1,0,0,0,0,0,180,29,2,0,0,0,0,EOS
1,0,0,0,0,0,20,11,2,0,0,0,0,EOS
1,0,0,0,0,0,88,223,2,0,0,0,0,EOS
1,0,0,0,0,0,33,60,2,0,0,0,0,EOS
1,0,0,0,0,0,50,88,2,0,0,0,0,EOS
1,0,0,0,0,0,61,24,2,0,0,0,0,EOS
1,0,0,0,0,0,29,22,1,0,0,0,0,EOS
0,1,0,0,0,0,71,0,0,0,0,0,0,EOS
1,0,0,0,0,0,31,53,2,0,0,0,0,EOS
1,0,0,0,0,0,112,176,1,0,0,0,0,EOS
0,1,0,0,0,0,132,0,0,0,0,0,0,EOS
0,1,0,0,0,0,40,0,0,0,0,0,0,EOS
1,0,0,0,0,0,9,59,2,0,0,0,0,EOS
0,1,0,0,0,0,63,0,0,0,0,0,0,EOS
